year_month,hawkish_dovish_index,topic_shift,sentiment_momentum,hawkish_dovish_index_norm,topic_shift_norm,sentiment_momentum_norm,composite_signal,signal_label,composite_signal_smooth
2015-01,0.9899623623613623,0.0,0.0,0.9901235472944913,0.0,0.0,0.39604941891779655,hawkish,0.39604941891779655
2015-02,0.9819875290731948,0.04771212989077083,0.0,0.9821474155499186,0.6514596977015689,0.0,0.5882968755304381,hawkish,0.4921731472241173
2015-03,0.00032204271652504663,0.044247991800416,0.0,0.0003220951512798427,0.6041604813742847,0.0,0.18137698247279735,neutral,0.388574425640344
2015-04,-0.33028087482989055,0.05249741863245802,-1.3006080929781318,-0.3303346509154745,0.7167978572893108,-0.660181948297304,-0.11514908766858775,neutral,0.21817492344488257
2015-05,0.9881687040486399,0.037976069135741385,0.015452937438612757,0.9883295969396608,0.5185238759137748,0.00784383120497102,0.5532421509114881,hawkish,0.2064900152385659
2015-06,-0.014029310038536857,0.012689823493140061,-0.03587838188765479,-0.01403159428032865,0.17326639149526618,-0.0182116812775706,0.04090377535317721,neutral,0.15966561286535919
2015-07,0.0,0.025097830868519598,0.3257021870747263,0.0,0.3426848759005742,0.1653247473920656,0.15240288698779195,neutral,0.24884960441748574
2015-08,-0.46675485895484087,0.02221565245647542,-1.387308907508702,-0.46683085563268306,0.30333171599488984,-0.7041908338061514,-0.3069900775964517,dovish,-0.03789447175182755
2015-09,-0.504738676266844,0.015740915603798634,-0.4767734155707678,-0.5048208574414773,0.21492589293902292,-0.2420077224547625,-0.21005289183131282,neutral,-0.12154669414665757
2015-10,0.49570780206038884,0.01943215675544469,0.4892695051509721,0.4957885128348228,0.26532596626000204,0.24835067296360241,0.35241839690101046,hawkish,-0.05487485750891804
2015-11,0.32803562724109137,0.04098202768081939,0.7369762154898307,0.3280890377571383,0.5595671252837586,0.37408531933456973,0.41133134848835384,hawkish,0.1845656178526838
2015-12,0.4913750996594694,0.04074681158722256,0.9902844398157835,0.4914551049865315,0.5563554932400847,0.5026632652647046,0.5142876695460493,hawkish,0.42601247164513784
2016-01,0.015400451626417611,0.008131675963246187,-0.4507683760849281,0.015402959116459596,0.11102960980679645,-0.22880769876891985,-0.02917224304205318,neutral,0.29881559166411664
2016-02,-0.002756793724458584,0.03488094444085226,-0.326981052413875,-0.0027572425835556786,0.4762631551558202,-0.16597389283085479,0.09198388166406732,neutral,0.19236643605602113
2016-03,-0.9884579081845314,0.030010568496081514,-1.449582519610002,-0.9886188481635539,0.4097632179713542,-0.7358005975670464,-0.49325875314412926,dovish,-0.14348237150737173
2016-04,-0.9773187790770835,0.024335121107395448,-0.9817980767587529,-0.9774779053914168,0.33227086437869313,-0.4983556312224467,-0.44081659220969277,dovish,-0.28069715456325156
2016-05,0.9920245489657875,0.03823756715336798,0.9869533567256155,0.9921860696626006,0.522094360398592,0.5009724246984494,0.7037944633941526,hawkish,-0.07676029398655648
