date,document_compound,n_sentences
2011-04-27,-0.0383556135965512,246
2011-06-22,-0.018839096812519752,201
2011-11-02,-0.07550438882656152,179
2012-01-25,0.010722810665049607,190
2012-04-25,0.0037485358576394836,189
2012-06-20,-0.094815337523425,181
2012-09-13,0.023906296487421177,192
2012-12-12,-0.07602133659562971,278
2013-03-20,-0.1547348453351077,241
2013-06-19,-0.039259284960162004,209
2013-09-18,0.02880665238398747,204
2013-12-18,-0.029806922331746255,283
2014-03-19,-0.1423345784724893,169
2014-06-18,-0.17370580561324184,125
2014-09-17,-0.21146162687541648,128
2014-12-17,0.006469217615001011,176
2015-03-18,-0.008019928753157154,148
2015-06-17,0.0066151197716761015,149
2015-09-17,-0.10392224726573487,157
2015-12-16,-0.09348415159377431,187
2016-03-16,-0.012382419515702478,163
2016-06-15,-0.20653661106898563,147
2016-09-21,-0.08694634183107598,196
2016-12-14,-0.053033270388999784,160
2017-03-15,0.029462982914313665,138
2017-06-14,-0.04688452603038735,166
2017-09-20,-0.08671845311658492,174
2017-12-13,0.017896063620102487,205
2018-03-21,-0.0019510538332970563,200
2018-06-13,-0.008466822269391647,263
2018-09-26,-0.0009587054972031116,294
2018-12-19,0.07733608983411487,209
2019-01-30,-0.007334415907051179,194
2019-03-20,0.038002155200838,198
2019-05-01,0.0487301678042085,182
2019-06-19,0.0158630205416338,201
2019-07-31,0.01121849103319516,225
2019-09-18,-0.014071592223810925,235
2019-10-30,0.05381505725831499,212
2019-12-11,-0.0045067570195536245,262
2020-01-29,0.05685251000831109,270
2020-03-03,0.04109392586000348,55
2020-03-15,0.06652875370800365,183
2020-04-29,-0.04612956459283819,251
2020-06-10,0.03029459066725058,285
2020-07-29,0.004100553827221369,317
2020-09-16,0.05660640928908022,328
2020-11-05,0.012297766242001781,228
2020-12-16,-0.00468821992588058,334
2021-01-27,0.014041870824590073,324
2021-03-17,0.033151457412997756,363
2021-04-28,-0.01504389350488642,309
2021-06-16,0.04674035710564672,342
2021-07-28,-0.008777653431892112,320
2021-09-22,0.0038856722342497227,289
2021-11-03,0.011032270929230557,283
2021-12-15,0.0037140755473985326,339
2022-01-26,-0.011799329676499482,325
2022-03-16,0.1180697898436221,299
2022-05-04,0.011127452006915084,299
2022-06-15,-0.038286350880104986,296
2022-07-27,-0.12332114489605003,347
2022-09-21,-0.05713289153540363,192
2022-11-02,-0.05767782069724271,245
2022-12-14,-0.06927478297767291,261
2023-02-01,-0.07889517305235418,249
2023-03-22,0.00476061704456475,177
2023-05-03,-0.033153580473100096,287
2023-06-14,-0.06711754589468037,266
2023-07-26,0.005537999383784223,259
2023-09-20,0.04550222615161001,287
2023-11-01,-0.0382468171762801,273
2023-12-13,-0.005533737292531133,225
2024-01-31,0.04082842179085076,297
2024-03-20,0.02340478081581823,212
2024-05-01,-0.04578117927334405,269
2024-06-12,0.07790109929419989,303
2024-07-31,0.0025231109186500122,291
2024-09-18,0.052474561753657355,255
2024-11-07,-0.003557226270490491,241
2024-12-18,-0.004297782682483381,325
2025-01-29,0.07129644504511379,270
2025-03-19,-0.03735740383303118,291
2025-05-07,-0.06424491430874134,287
2025-06-18,0.049731545123926295,306
2025-07-30,-0.004690092230619263,269
2025-09-17,-0.07861645879309134,295
2025-10-29,-0.055373078903816014,295
2025-12-10,0.015994444333740802,303
2026-03-18,-0.06840553994795247,258
2026-04-29,0.016226078517152794,333
2026-06-17,0.10143107984698795,175
